exercise_number,exercise_text,a,b,c,d,e,f,author,graphic
"3.54.","La ce temperatură funcționează filamentul unui bec electric, dacă tensiunea de alimentare este de $120 \mathrm{~V}$, iar intensitatea este de $1 \mathrm{~A}$. La temperatura de $50^{\circ} \mathrm{C}$ rezistența filamentului becului este de $10 \Omega\left(\alpha=0,005 \mathrm{~K}^{-1}\right)$.\\","$3073 \mathrm{~K}$","$1937 \mathrm{~K}$","$2000^{\circ} \mathrm{C}$","$2500^{\circ} \mathrm{C}$","$3003 \mathrm{~K}$","$2457 \mathrm{~K}$","Radu Chişleag","N/A"
"3.55.","Un set de surse, identice având tensiunea electromotoare cunoscută şi rezistenta internă de $1 \Omega$, sunt conectate la capetele unui rezistor de rezistență $1000 \mathrm{~m} \Omega$. Cum se modifică curentul care trece prin rezistor, când se trece de la montajul de alimentare cu sursele în serie la montajul cu sursele în paralel?\\","scade de 10 ori","creşte de 1,1 ori","creşte de 2 ori","este acelaşi","creşte de 10 ori","scade de 2 ori","Radu Chişleag","N/A"
"3.56.","O sursă, cu rezistența interioară de $0,5 \Omega$ alimentează optim un consumator cu puterea de $100 \mathrm{~W}$. Tensiunea electromotoare a sursei este:\\","$7,2 \mathrm{~V}$","$14,1 \mathrm{~V}$","$24 \mathrm{~V}$","$200 \mathrm{~V}$","$50 \mathrm{~V}$","$100 \mathrm{~V}$","Radu Chişleag","N/A"
"3.57.","Tensiunea aplicată la capetele unui conductor este de $0,18 \mathrm{kV}$. Conductorul este parcurs de o sarcină de $0,5 \mathrm{kC}$, într-un timp necunoscut. Ce cantitate de căldură se produce în conductor ?\\","$0,09 \mathrm{~M.u.S.I.}$","nu se poate determina","$0,090 \mathrm{~kW}$","$90 \mathrm{~kWh}$","$0,36 \mathrm{MJ}$","$2,7 \mathrm{~kJ}$","Radu Chişleag","N/A"
"3.58.","Ce reprezintă ""amper"" în fizică ?\\","unitatea de masă a intensității curentului electric în S.I.","curentul care trece prin două conductoare paralele aflate la distanța de $1 \mathrm{~m}$, în vid, între care se exercită o forță de interacțiune de $2 \cdot 10^{-7} \mathrm{~N} / \mathrm{m}$","numele unui fizician francez","codul de acces la toate programele de fizică pe calculator","mărimea cea mai importantă în definirea sarcinii electrice în S.I.","numele curenților electrici elementari din atomi","Radu Chişleag","N/A"
"3.59.","Două baterii identice, cu tensiunea electromotoare $E=10 \mathrm{~V}$ şi rezistența internă $r=2 \Omega$ sunt legate la un rezistor de rezistență $R=4 \Omega$. Intensitatea curentului prin rezistorul $R$ în cazul în care sursele sunt legate în serie, față de cazul în care acestea sunt legate în paralel este mai mare de un număr de ori egal cu:\\","1,25","2","3","0,5","1","0,33","Mădălina Puică","N/A"
"3.60.","Trei reşouri, de $100 \mathrm{~W}$ fiecare, sunt conectate la tensiunea de $100 \mathrm{~V}$ în toate combinațiile posibile: în serie, în paralel, sau două în paralel cu al treilea în serie. Raportul între puterea totală maximă şi puterea totală minimă care poate fi obținută este:\\","3","2,5","9","2","4","10","Mădălina Puică","N/A"
"3.61.","O baterie de acumulatoare de $100 \mathrm{~V}$ are o rezistență internă de $5 \Omega$. Voltmetrul, având o rezistență de $500 \Omega$, indică când este legat la bornele bateriei o tensiune:\\","$99 \mathrm{~V}$","$0,9 \mathrm{kV}$","$0,66 \mathrm{kV}$","$95 \mathrm{~V}$","$100 \mathrm{~V}$","$90 \mathrm{~V}$","Ionuț Puică","N/A"
"3.62.","Un element galvanic cu rezistența internă $r$ debitează curent pe o rezistență de sarcină de valoare $R$. Puterea înregistrată pe rezistența $R$ este maximă dacă:\\","$R=3 r$","$R=1 \Omega$","$R=\max$","$R=r$","$R=0$","$R=2 / 3 r$","Marin Cilea","N/A"
"3.63.","Două elemente galvanice, identice, cu tensiunea electromotoare $E=2 \mathrm{~V}$ și rezistența internă $r$ se leagă în serie printr-un rezistor de rezistență $R=1 \Omega$. Intensitatea curentului ce străbate acest circuit, ştiind că o singură sursă ar debita prin rezistor un curent $I_{0}=2 \mathrm{~A}$, este:\\","$2 \mathrm{~A}$","$4 \mathrm{~A}$","$6 \mathrm{~A}$","$3,2 \mathrm{~A}$","$1,5 \mathrm{~A}$","$5 \mathrm{~A}$","Marin Cilea","N/A"
"3.64.","Intensitatea curentului electric care trece printr-un conductor de cupru lung de $440 \mathrm{~m}$ şi cu secțiunea de $1,7 \mathrm{~mm}^{2}$, conectat la tensiunea de $220 \mathrm{~V}$, ştiind că de-a lungul conductorului se produce o cădere de tensiune de $5 \%$ ? $\left(\rho_{\mathrm{Cu}}=1,7 \cdot 10^{-8} \Omega \mathrm{~m}\right)$ este:\\","$2,5 \mathrm{~A}$","$1 \mathrm{~A}$","$2 \mathrm{~A}$","$5 \mathrm{~A}$","$7 \mathrm{~A}$","$3 \mathrm{~A}$","Marin Cilea","N/A"
"3.65.*","O depunere electrolitică de ioni monovalenți durează $t=48 \mathrm{~s}$. Dacă intensitatea curentului electric este constantă în acest timp, egală cu $0,4 \mathrm{~A}$, ştiind că sarcina elementară $e=1,6 \cdot 10^{-19} \mathrm{C}$, numărul de ioni care ajung la catod este:\\","$2,4 \cdot 10^{20}$","$0,4 \cdot 10^{20}$","$5,1 \cdot 10^{20}$","$0,82 \cdot 10^{20}$","$3,2 \cdot 10^{20}$","$1,2 \cdot 10^{20}$","Constantin P. Cristescu","N/A"
"3.66.*","Un cadru conductor de forma unui pătrat cu latura de $4 \mathrm{~cm}$, având o rezistență $R=2,8 \cdot 10^{-3} \Omega$, este situat în plan orizontal. Un câmp magnetic omogen de inducţie $0,7 \mathrm{~T}$ este orientat perpendicular pe planul cadrului. Câmpul se reduce la zero în mod uniform în timp de $0,8 \mathrm{~s}$. Energia disipată în cadru datorită tensiunii electromotoare induse este:\\","$250 \mu \mathrm{~J}$","$365 \mu \mathrm{~J}$","$840 \mu \mathrm{~J}$","$720 \mu \mathrm{~J}$","$180 \mu \mathrm{~J}$","$560 \mu \mathrm{~J}$","Constantin P. Cristescu","N/A"
"3.67.","În circuitul din Fig. 3.11. bateria are tensiunea electromotoare $E=12 \mathrm{~V}$ şi rezistență internă neglijabilă, iar $R_{1}=6000 \Omega$. Un voltmetru cu rezistență internă $R_{i}=6000 \Omega$ legat în paralel cu $R_{1}$ arată o tensiune de $9 \mathrm{~V}$. Rezistența $R_{2}$ este:\\","$500 \Omega$","$3500 \Omega$","$1000 \Omega$","$2500 \Omega$","$6000 \Omega$","$800 \Omega$","Constantin P. Cristescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-158"
"3.68.","O sursă cu tensiunea electromotoare $E=2 \mathrm{~V}$ şi rezistența internă $r$ debitează pe o rezistență $R=3 \Omega$ un curent $I=0,5 \mathrm{~A}$. Raportul dintre curenții pe care o baterie de două asemenea surse legate în serie, respectiv în paralel, $I_{s} / I_{p}$, este:\\","$2 / 3$","$7 / 5$","$3 / 4$","$8 / 5$","$5 / 3$","$3 / 5$","Constantin P. Cristescu","N/A"
"3.69.","Dacă la bornele unei baterii se conectează un rezistor cu rezistența $R_{1}=1 \Omega$, intensitatea curentului în circuit este $I_{1}=1 \mathrm{~A}$. Dacă se conectează la borne un alt rezistor curezistența $R_{2}=3 \Omega$, intensitatea curentului este $I_{2}=0,5 \mathrm{~A}$. Puterea debitată de baterie în circuitul exterior când acesta este compus din cele două rezistoare legate în serie este:\\","$1,5 \mathrm{~W}$","$4 / 5 \mathrm{~W}$","$5 / 4 \mathrm{~W}$","$16 / 25 \mathrm{~W}$","$3 / 4 \mathrm{~W}$","$2,5 \mathrm{~W}$","Constantin P. Cristescu","N/A"
"3.70.","Un cablu telefonic subteran, format din două fire identice, are undeva un scurtcircuit. Cablul telefonic are $5 \mathrm{~km}$ lungime. Pentru a descoperi scurtcircuitul, un tehnician măsoară rezistența între terminalele A şi B şi obține $30 \Omega$ şi apoi între C şi D şi obține $70 \Omega$ (Fig. 3.12). Scurtcircuitul se află la distanța:\\","$1,5 \mathrm{~km}$ de A","$1,5 \mathrm{~km}$ de C","$3 \mathrm{~km}$ de B","$3 \mathrm{~km}$ de A","$3 \mathrm{~km}$ de C","$1,5 \mathrm{~km}$ de D","Alexandrina Nenciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-159"
"3.71.","Două baterii cu tensiuni electromotoare $E_{1}=6 \mathrm{~V}$ şi $E_{2}=3 \mathrm{~V}$ sunt conectate la trei rezistențe cu valorile $R_{1}=6 \Omega, R_{2}=4 \Omega$ şi $R_{3}=2 \Omega$, ca în Fig. 3.13. Intensitatea curentului care trece prin fiecare baterie are valoarea:\\","$I_{3}=1 \mathrm{~A}, I_{4}=5,25 \mathrm{~A}$","$I_{3}=5,5 \mathrm{~A}, I_{4}=5,25 \mathrm{~A}$","$I_{3}=1 \mathrm{~A}, I_{4}=0,75 \mathrm{~A}$","$I_{3}=4,5 \mathrm{~A}, I_{4}=1 \mathrm{~A}$","$I_{3}=5,5 \mathrm{~A}, I_{4}=0,75 \mathrm{~A}$","$I_{3}=4,5 \mathrm{~A}, I_{4}=5,25 \mathrm{~A}$","Alexandrina Nenciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-159(2)"
"3.72.","O sursă cu tensiunea electromotoare $E$ şi rezistența $r$, dă unui rezistor conectat la bornele ei o putere $P$. Să se indice dacă acest lucru este posibil în cazul când:\\","valoarea rezistenței este unică","valoarea rezistenței este $R=r$","valoarea rezistenței este $R=\frac{r}{2}$","valoarea rezistenței poate fi oricare","există două valori ale rezistenței $R_{1}$ şi $R_{2}$ astfel încât $r=\sqrt{R_{1} R_{2}}$","există două valori ale rezistenței astfel încât $r=R_{1}+R_{2}$","Gheorghe Stanciu","N/A"
"3.73.","În circuitul din Fig. 3.14. voltmetrul indică tensiunea $U$, iar ampermetrul intensitatea $I$. Neglijând rezistența ampemetrului să se arate cǎ rezistența voltmetrului $R_{V}$ este (în voltmetru intensitatea curentului este neglijabilă):\\","$R_{V}=\frac{U}{I}$","$R_{V}=\frac{R U}{R I-U}$","$R_{V}=\frac{U+R I}{I}$","$R_{V}=\frac{R I-U}{I}$","$R_{V}=R$","$R_{V}=\frac{1}{2} \frac{U-R I}{I}$","Gheorghe Stanciu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-159(1)"
"3.74.","Două fire cu aceeaşi secțiune şi lungime, dar confecționate din materiale diferite, cu rezistivitățile $\rho_{01}$ şi $\rho_{02}$, au coeficienții de temperatură ai rezistivității $\alpha_{1}$ respectiv $\alpha_{2}$. Coeficientul de temperatură al sistemului obținut din cele două fire legate în paralel este:\\","$\alpha_{\text {paralel }}=\frac{\rho_{01} \alpha_{2}+\rho_{02} \alpha_{1}}{\rho_{01}+\rho_{02}}$","$\alpha_{\text {paralel }}=\frac{\rho_{01} \rho_{02}}{\rho_{01}+\rho_{02}}$","$\alpha_{\text {paralel }}=\frac{\alpha_{2} \alpha_{1}}{\alpha_{1}+\alpha_{2}}$","$\alpha_{\text {paralel }}=\frac{\rho_{02} \alpha_{2}+\rho_{01} \alpha_{1}}{\rho_{01}+\rho_{02}}$","$\alpha_{\text {paralel }}=\frac{\rho_{01} \alpha_{2}-\rho_{02} \alpha_{1}}{\rho_{01}+\rho_{02}}$","$\alpha_{\text {paralel }}=\frac{\rho_{01} \alpha_{2}-\rho_{02} \alpha_{1}}{\rho_{01}-\rho_{02}}$","Constantin Roşu","N/A"
"3.75.","Două baterii cu aceeaşi tensiune electromotoare au randamente $\eta_{1}$, respectiv $\eta_{2}$, pe aceeaşi rezistență exterioară. În cazul legării în paralel a bateriilor, randamentul lor total $\eta$ va fi:\\","$\eta>\eta_{1} , \eta>\eta_{2}$","$\eta=\eta_{1} , \eta>\eta_{2}$","$\eta<\eta_{1} , \eta<\eta_{2}$","$\eta=\eta_{1} , \eta>\eta_{2}$","nu se poate da un răspuns doarece nu este precizată rezistența de sarcină","$\eta+\eta_{1}>1 , \eta<\eta_{2}$","Constantin Roşu","N/A"
"3.76.","In circuitul din Fig. 3.15 se cunosc $R_{1}=100 \Omega, R_{2}=200 \Omega$, $R_{3}=400 \Omega, E_{1}=5 \mathrm{~V}, E_{2}=15 \mathrm{~V}$, iar sursele nu au rezistență internă. Tensiunea electrică dintre punctele A şi B va fi:\\","$U=6,43 \mathrm{~V}$","$U=-10 \mathrm{~V}$","$U=2,5 \mathrm{~V}$","$U=0 \mathrm{~V}$","$U=12 \mathrm{~V}$","$U=16 \mathrm{~V}$","Constantin Roşu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-160"
"3.77.*","Sarcina electrică necesară pentru a depune $3 \mathrm{~moli}$ de produs biatomic prin electroliză este:\\","$\frac{21}{5} e N_{A}$","$\frac{3}{2} F$","$\frac{7}{5} N_{A}$","$3 e N_{A}$","$2 F$","$4 F$","Constantin Roşu","N/A"
"3.78.","Cantitatea $1 \mathrm{~CV}$ este echivalentă cu:\\","$1 \mathrm{~J}$","$1 \mathrm{~V} / \mathrm{m}$","$1 \mathrm{~N} / \mathrm{m}^{2}$","$1 \mathrm{C} / \mathrm{N}$","$1 F$","$1 W$","Alexandru Lupaşcu","N/A"
"3.79.","O sursă cu tensiunea electromotoare de  $12 \mathrm{~V}$ și rezistența internă de $0,2 \Omega$ debitează pe o rezistență variabilă. Rezistența este variată până când disipează o putere maximă. Intensitatea curentului care o străbate în acest caz este:\\","$60 \mathrm{~A}$","$12 \mathrm{~A}$","$30 \mathrm{~A}$","$2,4 \mathrm{~A}$","$4,8 \mathrm{~A}$","$24 \mathrm{~A}$","Alexandru Lupaşcu","N/A"
"3.80.","La bornele unei surse se leagă în serie două voltmetre care indică tensiunile $U_{1}=8 \mathrm{~V}$ şi $U_{2}=6 \mathrm{~V}$. Dacă se leagă numai al doilea voltmetru, acesta indică tensiunea $U_{2}^{\prime}=10 \mathrm{~V}$. Tensiunea electromotoare a sursei este:\\","$20 \mathrm{~V}$","$7 \mathrm{~V}$","$17 \mathrm{~V}$","$22 \mathrm{~V}$","$18 \mathrm{~V}$","altă valoare","Alexandru Lupaşcu","N/A"
"3.81.","O sursă disipează în circuitul exterior aceeași putere $P=80 \mathrm{~W}$ când la borne este legat un rezistor cu rezistența $R_{1}=5 \Omega$ sau unul cu $R_{2}=20 \Omega$. Rezistența internă a sursei şi tensiunea electromotoare a ei au valorile :\\","$r=100 \Omega, E=94 \mathrm{~V}$","$r=10 \Omega, E=60 \mathrm{~V}$","$r=1 \Omega, E=53,66 \mathrm{~V}$","$r=10 \Omega, E=20 \mathrm{~V}$","$r=1 \Omega, E=20 \mathrm{~V}$","$r=1 \Omega, E=94 \mathrm{~V}$","Tatiana Pop","N/A"
"3.82.","Un ampermetru pentru măsurarea curenților foarte mici are rezistența de $150 \Omega$ şi poate măsura curenți până la $10 \mathrm{~mA}$. Pentru a putea folosi acest ampermetru la măsurarea curenților de $1 \mathrm{~A}$ trebuie introdusă în schema aparatului o rezistență egală cu:\\","$15,5 \Omega$","$150 \Omega$","$151,5 \Omega$","$1,515 \Omega$","$10 \Omega$","$1 \mathrm{M} \Omega$","Tatiana Pop","N/A"
"3.83.","Dacă se aplică o tensiune de $6 \mathrm{~V}$ între punctele diametral opuse ale unui inel conductor, puterea disipată este de $9,0 \mathrm{~W}$. Aplicând aceeaşi tensiune între două puncte A şi B ale inelului, puterea disipată devine $9,6 \mathrm{~W}$. Rezistențele electrice ale celor două arce de inel cuprinse între punctele A şi B sunt:\\","$9 \Omega , 7 \Omega$","$10 \Omega , 6 \Omega$","$11 \Omega , 5 \Omega$","$5 \Omega , 11 \Omega$","$7 \Omega , 9 \Omega$","$9 \Omega , 11 \Omega$","Tatiana Pop","N/A"
"3.84.","Două surse de tensiuni electromotoare $E_{1}$ şi respectiv $E_{2}=100 \mathrm{~V}$, au rezistențele interne $r_{1}=0 \Omega$ şi respectiv $r_{2}=0,2 \Omega$. Sursele sunt legate în paralel cu o rezistență $R=1,8 \Omega$. Pentru ca intensitatea curentului prin sursa de tensiune $E_{1}$ să fie nulă, tensiunea electromotoare a acestei surse trebuie să fie egală cu:\\","$110 \mathrm{~V}$","$114 \mathrm{~V}$","$90 \mathrm{~V}$","$139 \mathrm{~V}$","$45 \mathrm{~V}$","$120 \mathrm{~V}$","Elena Slavnicu","N/A"
"3.85.","Trei rezistențe de valori $R_{1}=1 \Omega, R_{2}=2 \Omega$ şi $R_{3}=3 \Omega$ sunt legate în toate modurile posibile. Produsul dintre valoarea minimă și valoarea maximă a rezistenței grupului este:\\","$\frac{8}{5} \Omega^{2}$","$4 \Omega^{2}$","$10 \Omega^{2}$","$\frac{36}{11} \Omega^{2}$","$\frac{23}{12} \Omega^{2}$","$6 \Omega^{2}$","Elena Slavnicu","N/A"
"3.86.","Într-un circuit cu rezistența $R$ o baterie are randamentul $\eta_{1}=0,3$. În același circuit, o altă baterie are randamentul $\eta_{2}=0,5$. Randamentul celor două baterii legate în serie, în circuitul cu rezistența $R$, va fi:\\","0,2","0,3","0,4","0,27","0,23","0,05","Maria Honciuc","N/A"
"3.87.","Intensitatea de scurtcurcuit a unui generator este $I_{0}=10 \mathrm{~A}$. Realizânduse un circuit electric cu acest generator, intensitatea curentului in circuit este $I=2 \mathrm{~A}$. Randamentul circuitului este:\\","0,3","0,65","0,8","0,7","0,5","0,25","Maria Honciuc","N/A"
"3.88.","Un circuit electric constă dintr-un ansamblu de trei rezistoare în serie, conectate la o baterie de $24 \mathrm{~V}$. Curentul prin circuit este de $0,032 \mathrm{~A}$. ştiind că $R_{1}=250 \Omega$ şi $R_{2}=150 \Omega$, căderile de tensiune pe fiecare rezistor sunt:\\","$U_{1}=4,8 \mathrm{~V} , U_{2}=8 \mathrm{~V} , U_{3}=11,2 \mathrm{~V}$","$U_{1}=8 \mathrm{~V} , U_{2}=4,2 \mathrm{~V} , U_{3}=11,8 \mathrm{~V}$","$U_{1}=4 \mathrm{~V} , U_{2}=8,8 \mathrm{~V} , U_{3}=11,2 \mathrm{~V}$","$U_{1}=10 \mathrm{~V} , U_{2}=4,8 \mathrm{~V} , U_{3}=11,2 \mathrm{~V}$","$U_{1}=8 \mathrm{~V} , U_{2}=4,8 \mathrm{~V} , U_{3}=11,2 \mathrm{~V}$","$U_{1}=4 \mathrm{~V} , U_{2}=4,2 \mathrm{~V} , U_{3}=4,8 \mathrm{~V}$","Cristina Stan","N/A"
"3.89.","Două becuri identice sunt conectate la aceeaşi baterie, prima dată în serie și apoi în paralel. Becurile grupate în serie vor disipa o putere ( $r=0$ ):\\","de 2 ori mai mare","de 2 mai mică","de 4 ori mai mică","egală","de 4 ori mai mare","de 3 ori mai mare decât cele grupate în paralel","Cristina Stan","N/A"
"3.90.","Circuitul electric din Fig. 3.16. constă într-un ansamblu de două rezistoare grupate in serie conectate la o baterie de $24 \mathrm{~V}$. Dacă curentul care circulă prin rezistorul de $6 \Omega$ are intensitatea de $1 \mathrm{~A}$, curentul care circulă prin rezistorul de $18 \Omega$ are intensitatea:\\","$3 \mathrm{~A}$","$0,3 \mathrm{~A}$","$1 \mathrm{~A}$","$5,33 \mathrm{~A}$","$1,3 \mathrm{~A}$","$2,1 \mathrm{~A}$","Cristina Stan","images/2025_07_01_5b3ff9fa0d508c8e9f17g-163"
"3.91.","Două consumatoare care la tensiunea nominalǎ $U$ dezvoltă puterile $P_{1}=200 \mathrm{~W}$ şi $P_{2}=400 \mathrm{~W}$ sunt legate în paralel, apoi în serie. Raportul dintre căldurile degajate în timpul $\tau$ va fi:\\","$\frac{W_{p}}{W_{s}}=2$","$\frac{W_{p}}{W_{s}}=4$","$\frac{W_{p}}{W_{s}}=\frac{1}{2}$","nu se poate calcula pentru că nu se cunoaşte $U$","$\frac{W_{p}}{W_{s}}=4,5$","$\frac{W_{p}}{W_{s}}=\frac{1}{4,5}$","Rodica Bena","N/A"
"3.92.","Se leagă $n$ rezistoare diferite, o dată în serie, apoi în paralel. Raportul $\frac{R_{s}}{R_{p}}$ este:\\","$\frac{R_{s}}{R_{p}}=n^{2}$","$\frac{R_{s}}{R_{p}}<n^{2}$","$\frac{R_{s}}{R_{p}}>n^{2}$","$\frac{R_{s}}{R_{p}}=\frac{1}{n^{2}}$","$\frac{R_{s}}{R_{p}}>\frac{1}{n^{2}}$","$\frac{R_{S}}{R_{p}}=n(n+1)$","Rodica Bena","N/A"
"3.93.","Într-un circuit format dintr-o baterie şi un reostat curentul electric este $I$. Dacă se micşorează rezistența reostatului de $k$ ori, curentul creşte de $n$ ori. Intensitatea curentului de scurtcircuit este:\\","$I_{0}=I \frac{(k-1)}{n(k-n)}$","$I_{0}=I \frac{n(k-1)}{k-n}$","$I_{0}=I \frac{k}{n}$","$I_{0}=I \frac{n(k-n)}{k-1}$","$I_{0}=I \frac{k-n}{n(k-1)}$","$I_{0}=I \frac{k n-1}{k-n}$","Mona Mihăilescu","N/A"
"3.94.","Circuitul din Fig. 3.17 este alimentat la o baterie alcătuită din $n=10$ elemente galvanice legate în serie, având fiecare tensiunea electromotoare $e=2 \mathrm{~V}$ şi rezistența internă $r=0,1 \Omega$. Intensitatea $I$ a curentului principal este:\\","$I=0,4 \mathrm{~A}$","$I=4,8 \mathrm{~A}$","$I=2 \mathrm{~A}$","$I=1,58 \mathrm{~A}$","$I=4 \mathrm{~A}$","$I=10 \mathrm{~A}$","Mona Mihăilescu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-164"
"3.95.","Un generator electric debitează pe rezistorul $R_{1}$ puterea $P_{1}$, iar pe rezistorul $R_{2}$ puterea $P_{2}=P_{1}$. Rezistența internă a generatorului în funcție de $R_{1}$ şi $R_{2}$ are expresia:\\","$\sqrt{R_{1}-R_{2}}$","$\sqrt{R_{1}+R_{2}}$","$\sqrt{R_{1} R_{2}}$","$\frac{R_{1}+R_{2}}{2}$","$\frac{R_{1}-R_{2}}{2}$","$\sqrt{\frac{R_{1}+R_{2}}{2}}$","Mona Mihăilescu","N/A"
"3.96.","O sursă cu tensiunea electromotoare $E$ şi rezistență interioară $r$ disipă în circuitul exterior aceeaşi putere $P=80 \mathrm{~W}$ când la borne este legat un rezistor cu rezistența $R_{1}=5 \Omega$ sau un rezistor cu rezistența $R_{2}=20 \Omega$. Tensiunea electromotoare a sursei este:\\","$25 \mathrm{~V}$","$30 \mathrm{~V}$","$80 \mathrm{~V}$","$16 \mathrm{~V}$","$60 \mathrm{~V}$","$75 \mathrm{~V}$","Ion Belciu","N/A"
"3.97.","Două voltmetre care pot măsura $150 \mathrm{~V}$, unul având rezistența de $15000 \Omega$ şi altul având rezistența de $150000 \Omega$ sunt conectate în serie la o rețea cu tensiunea $U=120 \mathrm{~V}$. Tensiunea indicată de fiecare voltmetru este:\\","$10,9 \mathrm{~V}$ şi $109,1 \mathrm{~V}$","$1 \mathrm{~V}$ şi $10 \mathrm{~V}$","$100 \mathrm{~V}$ şi $10 \mathrm{~V}$","$2 \mathrm{~V}$ şi $129,1 \mathrm{~V}$","$11,9 \mathrm{~V}$ şi $129,1 \mathrm{~V}$","$10 \mathrm{~V}$ şi $150 \mathrm{~V}$","Ileana Creangă","N/A"
"3.98.","Un rezistor cu rezistența de $60 \Omega$ şi altul cu rezistența de $90 \Omega$ sunt legate in paralel, iar montajul este conectat la o rețea cu tensiunea $U=120 \mathrm{~V}$. Intensitatea curentului total precum şi intensitatea curentului prin fiecare rezistor au valorile:\\","$I=3,33 \mathrm{~A} , I_{1}=2 \mathrm{~A} , I_{2}=1,33 \mathrm{~A}$","$I=33 \mathrm{~A} , I_{1}=1,2 \mathrm{~A} , I_{2}=3,3 \mathrm{~A}$","$I=3,33 \mathrm{~V} , I_{1}=2 \mathrm{~V} , I_{2}=1,33 \mathrm{~V}$","$I=3,33 \mathrm{~A} , I_{1}=12 \mathrm{~A} , I_{2}=13 \mathrm{~A}$","$I=33,3 \mathrm{~A} , I_{1}=12 \mathrm{~A} , I_{2}=33 \mathrm{~A}$","$I=3,03 \mathrm{~A} , I_{1}=1,2 \mathrm{~A} , I_{2}=1 \mathrm{~A}$","Ileana Creangă","N/A"
"3.99.*","Un voltametru cu azotat de argint şi electrozi de platină, având rezistența $R=1,9 \Omega$ și tensiunea contraelectromotoare de $1,2 \mathrm{~V}$, este alimentat de la un acumulator având tensiunea electromotoare de $2,2 \mathrm{~V}$ şi rezistența internă $r=0,1 \Omega$. Cantitatea de argint depusă în $30 \mathrm{~min}$ este (se dau pentru argint: masa atomică $A=107,8$ şi valența $n=1$ ):\\","$1 \mathrm{~kg}$","$0,5 \mathrm{~kg}$","$1 \mathrm{~g}$","$10 \mathrm{~g}$","$100 \mathrm{~g}$","$50 \mathrm{~g}$","Răzvan Mitroi","N/A"
"3.100.","Două rezistențe $R_{1}$ şi $R_{2}$ sunt montate în paralel şi alimentate de la o sursă cu $E=24 \mathrm{~V}$ şi rezistență interioară $r=1,2 \Omega$. Cunoscând rezistența $R_{1}=2 \Omega$, să se afle rezistența $R_{2}$ în cazul în care puterea absorbită în circuitul exterior este maximă.\\","$1,5 \Omega$","$3 \Omega$","$2 \Omega$","$5 \Omega$","1,2","$3,2 \Omega$","Răzvan Mitroi","N/A"
"3.101.","Un încălzitor electric alimentat la o tensiune electrică de $220 \mathrm{~V}$ furnizează $4180 \mathrm{~kcal}$ pe oră. Valoarea rezistenței încălzitorului este ( $1 \mathrm{cal}=4,18 \mathrm{~J}$ ):\\","$10 \Omega$","$1 \Omega$","$20 \Omega$","$5 \Omega$","$2 \Omega$","$15 \Omega$","Vasile Popescu","N/A"
"3.102.","Pentru porțiunea de circuit din Fig. 3.18 se cunosc: $E_{1}=8 \mathrm{~V}$, $E_{2}=42 \mathrm{~V}, R_{1}=5 \Omega, R_{2}=8 \Omega, r_{1}=r_{2}=1 \Omega$ şi $I=3 \mathrm{~A}$. Diferenţa de potenţial $V_{\mathrm{A}}-V_{\mathrm{B}}$ este:\\","$80 \mathrm{~V}$","$-6,4 \mathrm{~V}$","$7 \mathrm{~V}$","$8,4 \mathrm{~V}$","$-11 \mathrm{~V}$","$-0,4 \mathrm{~V}$","Nicoleta Eşeanu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-166"
"3.103.","În circuitul din Fig. 3.19 se cunosc $E, R$ şi $r=9 R / 40$. Ampermetrul (ideal) indică:\\","$\frac{10 E}{21 R}$","$\frac{5 E}{12 R}$","$\frac{7 E}{2 R}$","$\frac{9 E}{13 R}$","$\frac{3 E}{17 R}$","nici o variantă nu este corectă","Nicoleta Eşeanu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-166(1)"
"3.104.","Un ampermetru are rezistența internă $r=36 \Omega$ și scala de 150 diviziuni. La trecerea unui curent de $1 \mathrm{~A}$ acul ampermetrului deviază cu 50 diviziuni. Rezistența unui şunt legat în circuit astfel încât la trecerea unui curent de $5 \mathrm{~A}$ acul să devieze cu 10 diviziuni este:\\","$1,44 \Omega$","$1,5 \Omega$","$2,88 \Omega$","$3 \Omega$","$6 \Omega$","$6,8 \Omega$","Nicoleta Eşeanu","N/A"
"3.105.","Cursorul unui potentiometru de rezistentă $R=12 \mathrm{k} \Omega$ se află la o treime față de capătul notat A. Între cursor şi capătul A se leagă un voltmetru având rezistenta $R_{V}=16 \mathrm{k} \Omega$. Tensiunea de la bornele potențiometrului este $U=336 \mathrm{~V}$. Indicația voltmetrului este:\\","$96 \mathrm{~V}$","$72 \mathrm{~V}$","$162 \mathrm{~V}$","$124,5 \mathrm{~V}$","$31,8 \mathrm{~V}$","$63,6 \mathrm{~V}$","Nicoleta Eşeanu","N/A"
