exercise_number,solution
"1.59","$s_{1}=v_{0} t_{1}+\frac{a t_{1}^{2}}{2} \Rightarrow v_{0}=\frac{s_{1}-\frac{a t_{1}^{2}}{2}}{t_{1}};\\ s_{2}=v_{0} t_{2}+\frac{a t_{2}^{2}}{2}=\left(v_{0}+a t_{1}\right) t_{2}+\frac{a t_{2}^{2}}{2}$;\\ $s_{2}=\left(\frac{s_{1}-a t_{1}^{2} / 2}{t_{1}}+a t_{1}\right) t_{2}+\frac{a t_{2}^{2}}{2};\\ s_{2} t_{1}=s_{1} t_{2}-\frac{a t_{1}^{2} t_{2}}{2}+a t_{1}^{2} t_{2}+\frac{a t_{2}^{2} t_{1}}{2}$;\\ $t_{1}=1 \mathrm{~s}; \quad s_{1}=1 \mathrm{~m}; \quad t_{2}=1 \mathrm{~s}; \quad s_{2}=2 \mathrm{~m}.\\ a=\frac{2\left(s_{2} t_{1}-s_{1} t_{2}\right)}{t_{1} t_{2}\left(t_{1}+t_{2}\right)}=\frac{2 \cdot 1 \cdot(2-1)}{1 \cdot 1(1+1)}=1 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.60","$a=g \frac{m_{2}-m_{1}}{m_{1}+m_{2}}=10 \cdot \frac{0,1}{0,5}=2 \mathrm{~m} / \mathrm{s}^{2};\\ t=\sqrt{\frac{s}{a}}=\sqrt{\frac{2}{2}}=1 \mathrm{~s}$.\\"
"1.61","$h=h_{1}+h_{2}=v_{01} t-\frac{g t^{2}}{2}+v_{02} t+\frac{g t^{2}}{2}=\left(v_{01}+v_{02}\right)t$;\\ $t=\frac{h}{v_{01}+v_{02}}=\frac{100}{80+20}=1 \mathrm{~s}$;\\ $v_{1}=v_{01}-g t=80-10=70 \mathrm{~m} / \mathrm{s}$;\\ $v_{2}=v_{02}-g t=20+10=30 \mathrm{~m} / \mathrm{s}$;\\ $m_{1} v_{1}-m_{2} v_{2}=\left(m_{1}+m_{2}\right)v;\\ v=\frac{m_{1} v_{1}-m_{2} v_{2}}{m_{1}+m_{2}}=\frac{70 \cdot 1-30 \cdot 1}{2}=20 \mathrm{~m} / \mathrm{s}$;\\ $E_{c}=\frac{\left(m_{1}+m_{2}\right) v^{2}}{2}=\frac{2 \cdot 400}{2}=400 \mathrm{~J}$.\\"
"1.62","$L=P \cdot t=P \cdot \frac{v_{2}-v_{1}}{a}=P \cdot \frac{v_{2}-v_{1}}{v_{2}^{2}-v_{1}^{2}} \cdot 2 d=\frac{2 P d}{v_{2}+v_{1}}$;\\ $v_{2}^{2}=v_{1}^{2}+2 a d \Rightarrow a=\frac{v_{2}^{2}-v_{1}^{2}}{2 d}$;\\ $d=\frac{L\left(v_{2}+v_{1}\right)}{2 P}=\frac{3 \cdot 10^{5} \cdot 25}{2 \cdot 3 \cdot 10^{4}}=\frac{250}{2}=125 \mathrm{~m}$.\\"
"1.63","$F_{f}+G \sin \alpha=F \cos \alpha; \quad \mu(G \cos \alpha+F \sin \alpha)=F \cos \alpha-G \sin \alpha;$\\ $\mu=\frac{a \cos \alpha-g \sin \alpha}{g \cos \alpha+a \sin \alpha}=\frac{a-g \operatorname{tg} \alpha}{g+a \operatorname{tg} \alpha}=\frac{15-10}{10+15}=\frac{5}{25}=0,2$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-211}\\ Figura problemei \end{center}\\"
"1.64","$F_{t}=m a+F_{f}=m \frac{v}{t}+\mu m g;\\ \frac{m v}{t}=F_{t}-\mu m g \Rightarrow t=\frac{m v}{F_{t}-\mu m g}=\frac{10^{6} \cdot 20}{5 \cdot 10^{5}-0,05 \cdot 10 \cdot 10^{6}}=\frac{2 \cdot 10^{7}}{2 \cdot 10^{5}}=100 \mathrm{~s}$.\\"
"1.65","Vezi figura problemei.\\ $m v_{0}=(M+m) v \Rightarrow v=\frac{m v_{0}}{M+m}$;\\ $\frac{(M+m) v^{2}}{2}=(M+m) g \cdot 2 l+\frac{(M+m) v^{\prime 2}}{2}$;\\ $v^{2}=4 g l+v^{\prime 2}=5 g l$;\\ $\frac{(M+m) v^{\prime 2}}{l}=(M+m) g;\\ v^{\prime 2}=g l$;\\ $\left(\frac{m}{M+m}\right)^{2} v_{0}^{2}=5 g l \Rightarrow v_{0}=\frac{M+m}{m} \sqrt{5 g l}=1000 \mathrm{~m} / \mathrm{s}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-211(1)}\\ Figura problemei \end{center}\\"
"1.66","$F\left(x_{1}\right)=k x_{1} \Rightarrow k=\frac{F\left(x_{1}\right)}{x_{1}}=10 \frac{\mathrm{~N}}{\mathrm{~m}}$;\\ $L=\frac{F\left(x_{1}\right)+F\left(x_{2}\right)}{2}\left(x_{2}-x_{1}\right)=\frac{10+20}{2} \cdot 1=15 \mathrm{~J}$.\\"
"1.67","$T-m g=0 \Rightarrow T=m g$;\\ $T_{1} \sin \alpha_{1}+T_{2} \sin \alpha_{2}-T=0 \Rightarrow T_{1}=\left(m g \cos \alpha_{2}\right) / \sin \left(\alpha_{1}+\alpha_{2}\right)$;\\ $-T_{1} \cos \alpha_{1}+T_{2} \cos \alpha_{2}=0 \Rightarrow T_{2}=\left(m g \cos \alpha_{1}\right) / \sin \left(\alpha_{1}+\alpha_{2}\right)$;\\ $T=2 \cdot 9,8 \mathrm{~N}=19,6 \mathrm{~N}$;\\ $T_{1}=2 \cdot 9,8\left(\sin 30^{\circ}\right) \mathrm{N}=9,8 \mathrm{~N}$;\\ $T_{2}=2 \cdot 9,8\left(\cos 30^{\circ}\right) \mathrm{N}=9,8 \sqrt{3} \mathrm{~N}$.\\"
"1.68","$\mu N+m_{1} g \sin \alpha-T=m_{1} a_{1}; \quad N-\mu m_{1} g \cos \alpha=0$;\\ $\mu m_{1} g \cos \alpha+m_{1} g \sin \alpha-T=m_{1} a_{1}$;\\ $m_{2} g-T=m_{2} a_{2}$;\\ $x_{1}+x_{2}=\text { const. }; \quad a_{1}+a_{2}=0$.\\"
"1.69","$T-m_{1} g \sin \alpha_{1}=m_{1} a$;\\ $m_{2} g \sin \alpha_{2}-T=m_{2} a$;\\ $a=g\left(m_{2} \sin \alpha_{2}-m_{1} \sin \alpha_{1}\right) /\left(m_{1}+m_{2}\right)$;\\ $\sin \alpha_{1}=1 / 2; \quad \sin \alpha_{2}=\sqrt{2} / 2$;\\ $a=(2 \cdot \sqrt{2} / 2-1 / 2) \cdot 9,8 / 3 \mathrm{~m} / \mathrm{s}^{2}=2,97 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.70","$v_{1}=v_{0}-g t; \quad v_{2}=g(t-\Delta t) \Rightarrow$\\ $v_{r}=v_{2}-\left(-v_{1}\right)=v_{2}+v_{1}=v_{0}-g t+g t-g \Delta t=v_{0}-g \Delta t$.\\"
"1.71","$G_{t}=G \sin \alpha=m g \sin \alpha;\\ G_{n}=G \cos \alpha=m g \cos \alpha$;\\ $F_{r}=\mu G_{n}=\mu m g \cos \alpha$;\\ $G_{t}>F_{f} \Rightarrow m g \sin \alpha>\mu m g \cos \alpha \Rightarrow \operatorname{tg} \alpha>\mu$.\\"
"1.72","$x=2 \pi R / 4=\pi R / 2 \Rightarrow R=2 x / \pi=2 \cdot 314 / \pi \cong 200 \mathrm{~m}$.\\"
"1.73","$L=F \cdot h=m(g+a) h=1 \cdot(9,8+0,19) \cdot 10=100 \mathrm{~J}$.\\"
"1.74","$a=0,\ F_{r}=m g \Rightarrow m=F_{r} / g=(98,1 / 9,81) \mathrm{kg}=10 \mathrm{~kg}$.\\"
"1.75","$v_{m}=x / t=x /\left(t_{1}+t_{2}\right)=x /\left(x /\left(2 v_{1}\right)+x /\left(2 v_{2}\right)\right)=1 /\left(1 /\left(2 v_{1}\right)+1 /\left(2 v_{2}\right)\right)=$ $=2 v_{1} v_{2} /\left(v_{1}+v_{2}\right)=2 \cdot 6 \cdot 4 /(6+4) \mathrm{~km} / \mathrm{h}=4,8 \mathrm{~km} / \mathrm{h}$.\\"
"1.76","$F=\left(m_{1}+m_{2}\right) a \Rightarrow a=F /\left(m_{1}+m_{2}\right)=6 /(2+1) \mathrm{~m} / \mathrm{s}^{2}=2 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1.77","$m_{2} v_{0}=\left(m_{1}+m_{2}\right) v \Rightarrow v=m_{2} v_{0} /\left(m_{1}+m_{2}\right)=2 \cdot 30 /(10+2)=5 \mathrm{~m} / \mathrm{s}$.\\"
"1.78","Se poate utiliza teorema variaţiei energiei cinetice (vezi figura problemei): $0-\frac{m v^{2}}{2}=-m g \sin \alpha l-\mu m g \cos \alpha l$, adicǎ $E=L_{1}+L_{2}\ (1)$, unde:\\ $L_{1}=m g \sin \alpha l$ este lucrul mecanic al greutății tangențiale,\\ $L_{2}=\mu m g \cos \alpha l$ este lucrul mecanic al forței de frecare.\\ Se vede că $\frac{L_{2}}{L_{1}}=\mu \operatorname{ctg} \alpha\ (2)$.\\ Din (1) şi (2): $L_{2}=\frac{\mu E}{\mu+\operatorname{ctg} \alpha}=\frac{0,2 \cdot 24}{0,2+1}=4 \mathrm{~J}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-213}\\ Figura problemei \end{center}\\"
"1.79","Accelerația de cădere este $a=\frac{2 h}{t^{2}}$. Pe de altă parte: $m a=m g-R$, deci:\\ $R=m(g-a)=m\left(g-\frac{2 h}{t^{2}}\right)=1,88 \mathrm{~N}$.\\"
"1.80","Din legea conservării energiei, rezultă: $m g h+\frac{m v^{2}}{2}=m g h^{\prime}$, de unde:\\ $v=\sqrt{2 g\left(h^{\prime}-h\right)}=2 \mathrm{~m} / \mathrm{s}$.\\"
"1.81","Din figura problemei: $R=M g-m g \sin \alpha=607,6 \mathrm{~N}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-213(2)}\\ Figura problemei \end{center}\\"
"1.82","$P=\frac{L}{t}=\frac{m g h}{t}=\frac{75 \cdot 10 \cdot 18}{3 \cdot 60}=75 \mathrm{~W}$.\\"
"1.83","Timpii de urcare $\left(t_{1}\right)$ şi de coborâre $\left(t_{2}\right)$ sunt egali:\\ $t_{1}=2 \mathrm{~s} \Rightarrow h=\frac{g t_{1}^{2}}{2}=20 \mathrm{~m}$.\\"
"1.84","Firul se orientează după rezultanta dintre forţa de greutate ($m g$) şi forţa de inerție ($m a$) (Vezi figura problemei):\\ $\operatorname{tg} \alpha=\frac{m a}{m g}=\frac{a}{g} \Rightarrow a=g \operatorname{tg} \alpha=5,66 \mathrm{~m} / \mathrm{s}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-213(1)}\\ Figura problemei \end{center}\\"
"1.85","Din legea impulsului: $m_{A} v=\left(m_{A}+m_{B}\right) v^{\prime}$, cu $v^{\prime}=\sqrt{2 a l}=\sqrt{2 \mu g l}$\\ Rezultǎ: $v=\frac{m_{A}+m_{B}}{m_{A}} \sqrt{2 \mu g l}=1 \mathrm{~m} / \mathrm{s}$.\\"
"1.86","Fie un sistem de coordonate ataşat sistemului ca în figura problemei. Coordonatele celor 2 mobile, A respectiv B la un moment $t$ vor fi:\\ $x_{A}=0; \quad y_{A}=v t-\frac{g t^{2}}{2};\\ x_{B}=v t \cos \alpha; \quad y_{B}=h+v t \sin \alpha-\frac{g t^{2}}{2}$.\\ Corespunzător, distanța dintre cele două mobile va fi:\\ $d=\sqrt{\left(x_{B}-x_{A}\right)^{2}+\left(y_{B}-y_{A}\right)^{2}}=\sqrt{(v t \cos \alpha)^{2}+[h+v t(\sin \alpha-1)]^{2}}$.\\ Minimul distanţei este dat de ecuația $d^{\prime}(t)=0$; obținem timpul la care distanța este minimă şi această distanță:\\ $t=\frac{h}{2 \cdot v}=1 \mathrm{~s}$;\\ $d_{\text {minim }}=h \cdot \sqrt{\frac{1+\sin (\alpha)}{2}}=20 \cdot \sqrt{3} \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-214(1)}\\ Figura problemei \end{center}\\"
"1.87","Planul înclinat împreună cu corpul se deplasează sub acțiunea forței $F$ (vezi figura problemei) cu acceleraţia:\\ $a=\frac{F}{m_{1}+m_{2}}=1,875 \mathrm{~m} / \mathrm{s}^{2}$.\\ Observăm că: $m_{2} g \cos \alpha=0,1875 \mathrm{~N}<m_{2} g \sin \alpha=1,697 \mathrm{~N}$.\\ Astfel, corpul de masă $m_{2}$ coboară pe planul înclinat cu accelerația:\\ $a^{\prime}=g(\sin \alpha-\mu \cos \alpha)-a(\cos \alpha+\mu \sin \alpha)=5,575 \mathrm{~m} / \mathrm{s}^{2}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-214}\\ Figura problemei \end{center}\\"
"1.88","Fie $d_{1}, d_{2}$, şi $d_{3}$ alungirile absolute ale firului pendulului în poziția de elongație maximă $\alpha$, în poziția verticală unde viteza este maximă $v_{\text {max }}$, respectiv în poziția căutată în problemă. În acest caz, principiul echilibrului forțelor respectiv cel al conservării energiei mecanice, oferă ecuațiile:\\ $k\left(L+d_{1}\right)=m g \cos \alpha$;\\ $k\left(L+d_{2}\right)=m g+\frac{m v_{\max }^{2}}{L+d_{2}}$;\\ $\frac{k d_{1}^{2}}{2}+m g\left(L+d_{2}-\left(L+d_{1}\right) \cos \alpha\right)=\frac{k d_{2}^{2}}{2}+\frac{m v_{\max }^{2}}{2}$;\\ $k\left(L+d_{3}\right)=m g \cos \beta+\frac{m\left(\frac{v_{\max }}{2}\right)^{2}}{L+d_{3}}$;\\ $\frac{k d_{1}^{2}}{2}+m g\left[L+d_{2}-\left(L+d_{1}\right) \cos \alpha\right]=\frac{k d_{3}^{2}}{2}+\frac{m\left(\frac{v_{\max }}{2}\right)^{2}}{2}+m g\left[L+d_{2}-\left(L+d_{3}\right) \cos \beta\right]$.\\ Rezolvând sistemul în necunoscutele $d_{1}, d_{2}, d_{3}, v_{\text {max }}$ şi $\cos \beta$, obținem răspunsul căutat, $\cos \beta=0,707$.\\"
"1.89","Într-un sistem de coordonate cu axa $O x$ dirijată de-a lungul vitezei $v$, conservarea impulsului ne permite să scriem ecuațiile:\\ $m_{1} v=m_{1} v_{1} \cos \alpha+m_{2} v_{2} \cos \beta$;\\ $m_{1} v_{1} \sin \alpha=m_{2} v_{2} \sin \beta$;\\ Folosind ultima ecuație, găsim:\\ $\frac{E_{c 1}}{E_{c 2}}=\frac{\frac{m_{1} v_{1}^{2}}{2}}{\frac{m_{2} v_{2}^{2}}{2}}=\frac{m_{1}}{m_{2}}\left(\frac{m_{2} \sin \beta}{m_{1} \sin \alpha}\right)^{2}=\frac{m_{2} \sin ^{2} \beta}{m_{1} \sin ^{2} \alpha}$.\\"
"1.90","Între puterea $P$ a motorului, viteză şi forța de tracțiune există relația $P=F v$. Particularizând relația în cele 3 cazuri din problemă, avem:\\ $P=m g v_{1}(\sin \alpha+\mu \cos \alpha)$;\\ $P=m g v_{2}(-\sin \alpha+\mu \cos \alpha)$;\\ $2 P=m g v \mu$.\\ Ţinând cont de aproximațiile menționate în problemă şi rezolvând sistemul de mai sus în necunoscutele $P, \alpha$ şi $v$, rezultă: $v=\frac{4 v_{1} v_{2}}{v_{1}+v_{2}}$.\\"
"1.91","Forța de restabilire este $F_{r}=m g \sin \alpha$.\\"
"1.92","Corpul se mișcă uniform încetinit cu accelerația:\\ $a=\mu g=0,98 \mathrm{~m} / \mathrm{s}^{2}$.\\ Spațiul parcurs de corp până la oprire este:\\ $s=\frac{v_{0}^{2}}{2 a}=32,65 \mathrm{~m}$.\\"
"1.93","Spațiul parcurs de corp este:\\ $s=a+b t^{2}=0,36 \mathrm{~m}$.\\ Viteza corpului este:\\ $v=\frac{\mathrm{d} s}{\mathrm{~d} t}=2 b t=0,16 \mathrm{~m} / \mathrm{s}$.\\"
"1.94","Ecuația de mişcare este de forma:\\ $h=\frac{1}{2} g t^{2} \Rightarrow t=\sqrt{\frac{2 h}{g}}$;\\ Timpul până la coborâre este:\\ $t_{c}=\sqrt{\frac{2 h}{g}}=20 \mathrm{~s}$.\\ Timpul necesar pentru a parcurge $h_{1}=h-60 \mathrm{~m}=1900 \mathrm{~m}$ este:\\ $t_{1}=\sqrt{\frac{2 h_{1}}{g}}=19,69 \mathrm{~s}$.\\ Deci, timpul pentru a parcurge ultimii $60 \mathrm{~m}$ este:\\ $t_{c}-t_{1}=0,31 \mathrm{~s}$.\\"
"1.95","Componentele inițiale ale vitezei sunt:\\ $v_{0 x}=v_{0}=5 \mathrm{~m} / \mathrm{s} \text { şi } v_{0 y}=0 \mathrm{~m} / \mathrm{s}$.\\ După timpul $t=0,5 \mathrm{~s}$ componentele vitezei sunt:\\ $v_{x}=v_{0}=5 \mathrm{~m} / \mathrm{s}$, deoarece după axa $O x$ mingea se deplasează uniform, iar:\\ $v_{y}=g t=5 \mathrm{~m} / \mathrm{s}$, deoarece după axa $O y$ mingea se deplasează uniform accelerat cu accelerația $g$.\\ Viteza mingii va fi: $v=\sqrt{v_{x}^{2}+v_{y}^{2}}=5 \sqrt{2} \mathrm{~m} / \mathrm{s}$.\\ Spațiul parcurs după axa $O x$ este $x=v_{x} t=2,5 \mathrm{~m}$, iar spațiul parcurs după axa Oy este $y=\frac{1}{2} g t=1,25 \mathrm{~m}$.\\"
"1.96","Mișcarea fiind uniformă, timpul de deplasare din B în A va fi $t_{1}=\frac{\mathrm{AB}}{v_{1}}$, iar la întoarcere timpul este $t_{2}=\frac{\mathrm{AB}}{v_{2}}$. Viteza medie a biciclistului este:\\ $v_{m}=\frac{2 \mathrm{AB}}{t_{1}+t_{2}}=\frac{\mathrm{AB}}{\frac{\mathrm{AB}}{v_{1}}+\frac{\mathrm{AB}}{v_{2}}}=\frac{2}{\frac{1}{v_{1}}+\frac{1}{v_{2}}}=\frac{2 v_{1} v_{2}}{v_{1}+v_{2}}=9,6 \mathrm{~km} / \mathrm{h}$.\\"
"1.97","Conform principiului fundamental al dinamicii, legile de mişcare ale celor două corpuri (conform figurii problemei) sunt:\\ $F-m_{1} g-T=m_{1} a \quad (1)$;\\ $T-m_{2} g=m_{2} a \quad (2)$;\\ Adunând relațiile (1) şi (2) obținem:\\ $F-g\left(m_{1}+m_{2}\right)=\left(m_{1}+m_{2}\right) \cdot a$, de unde rezultă:\\ $a=\frac{F}{m_{1}+m_{2}}-g=\frac{8}{0,2+0,6}-9,8=(10-9,8) \mathrm{m} / \mathrm{s}^{2}=0,2 \mathrm{~m} / \mathrm{s}^{2}$.\\ Din relația (2) obținem:\\ $T=m_{2}(g+a)=0,6 \cdot(9,8+0,2) \mathrm{N}=6 \mathrm{~N}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-217}\\ Figura problemei \end{center}\\"
"1.98","Spațiul şi viteza primului corp, la un moment dat, vor fi:\\ $h_{1}=v_{01} t-\frac{g t^{2}}{2}; \quad v=v_{01}-g t$;\\ Din condiția $v=0$, obținem $t_{u}=\frac{v_{01}}{g}$, care este timpul de urcare al primului corp. Înălțimea maximă la care ajunge primul corp este:\\ $h_{1 m}=h_{1}\left(t=t_{u}\right)=\frac{v_{01}^{2}}{2 g}=\frac{400}{20} \mathrm{~m}=20 \mathrm{~m}$.\\ Din momentul în care primul corp a ajuns la înălțimea $h_{1 u}$, spațiile parcurse de cele două corpuri vor fi $h_{1}^{\prime}=\frac{g t^{2}}{2}$, respectiv $h_{2}=v_{02} t-\frac{g t^{2}}{2}$. Timpul după care se întâlnesc corpurile este dat de condiția:\\ $h_{1}^{\prime}+h_{2}=h_{1 m} \text { sau } \frac{g t^{2}}{2}+v_{02} t-\frac{g t^{2}}{2}=h_{1 m}$, de unde rezultă:\\ $t=\frac{h_{1 m}}{v_{02}}=\frac{20}{10} \mathrm{~s}=2 \mathrm{~s}$.\\"
"1.99","Descompunem forța $F$ pe direcția orizontală şi verticală conform figurii problemei:\\ $F_{o}=F \cos \alpha; \quad F_{v}=F \sin \alpha$.\\ Forța de apăsare normală pe planul orizontal este:\\ $N=m g+F_{v}=m g+F \sin \alpha$, iar forța de frecare cu planul orizontal va fi:\\ $F_{f}=\mu N=\mu(m g+F \sin \alpha)$.\\ Pentru ca mişcarea să fie uniformă trebuie îndeplinită condiția:\\ $F_{o}-F_{f}=0 \Rightarrow F_{o}=F_{f}$;\\ $F \cos \alpha=\mu(m g+F \sin \alpha)$, de unde rezultă: $\mu=\frac{F \cos \alpha}{m g+F \sin \alpha}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-218}\\ Figura problemei \end{center}\\"
"1.100","Conform enunțului, în cazul general forța de frecare poate fi scrisă sub forma: $F_{f}=b M^{\prime} g$ (1), unde $b$ este constanta de proporționalitate. La început mişcarea fiind uniformă, forța de tracțiune a trenului este $F_{t}=b M g$ (2), iar viteza trenului și a vagonului este $v_{0}$. După desprinderea de tren, vagonul merge uniform încetinit.\\ Din $v=v_{0}-a_{1} t=0$, aflăm timpul de oprire $t_{0}=\frac{v_{0}}{a_{1}}$, iar din $m a_{1}=b m g$ rezultă $a_{1}=b g$ şi $t_{0}=\frac{\nu_{0}}{b g}$ (3)\\ Spațiul parcurs de vagon până la oprire va fi:\\ $d=v_{0} t_{0}-\frac{a_{1} t_{0}^{2}}{2}=\frac{v_{0}^{2}}{2 b g}$ (4)\\ Accelerația trenului după desprinderea vagonului se află în felul următor:\\ $F_{t}-b(M-m) g=(M-m) a_{2}$;\\ $b M g-b M g+b m g=(M-m) a$.\\ Deci $a_{2}=\frac{b m g}{M-m}$ (5)\\ Spațiul parcurs de tren până la oprirea vagonului este:\\ $D=v_{0} t_{0}+\frac{a_{2} t_{0}^{2}}{2}=v_{0} \cdot \frac{v_{0}}{2 b g}+\frac{1}{2} \cdot \frac{b m g}{M-m} \frac{v_{0}^{2}}{b^{2} g^{2}}=\frac{v_{0}^{2}}{2 b g} \cdot \frac{(2 M-2 m+m)}{(M-m)}$;\\ Deci: $D=d \frac{(2 M-m)}{M-m}$.\\ Distanța dintre tren şi vagonul oprit va fi:\\ $x=D-d=\frac{2 M d-m d}{M-m}-d=\frac{2 M d-M d+m d}{M-m}$;\\ Deci: $x=\frac{M}{M-m} d=11 \mathrm{~km}$.\\"
"1.101","Notăm cu $F_{c f}$ forța centrifugă şi cu $G$ greutatea aviatorului.\\ $v=720 \mathrm{~km} / \mathrm{h}=\frac{720 \cdot 10^{3}}{3600} \mathrm{~m} / \mathrm{s}=\frac{72}{36} \cdot 10^{2} \mathrm{~m} / \mathrm{s}=200 \mathrm{~m} / \mathrm{s}$.\\ Conform figurii problemei, forța din enunțul problemei va fi în punctul inferior al cercului. Deci:\\ $F=F_{c f}+G=\frac{m v^{2}}{R}+m g=m\left(\frac{v^{2}}{R}+g\right)=70\left(\frac{4 \cdot 10^{4}}{8 \cdot 10^{2}}+10\right) \mathrm{~N}=\\ =70\left(\frac{400}{8}+10\right) \mathrm{~N}=4200 \mathrm{~N}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-219}\\ Figura problemei \end{center}\\"
"1.102","Aplicând legea conservării impulsului, viteza $v_{2}$ a corpului format se află în felul următor:\\ $m v_{1}=(m+M) \cdot v_{2} \Rightarrow v_{2}=\frac{m v_{1}}{m+M}=6 \mathrm{~m} / \mathrm{s}$;\\ Energia cinetică a corpului format este:\\ $E=\frac{m+M}{2} v_{2}^{2}=9 \mathrm{~J}$.\\"
"1.103","Conform figurii problemei, greutatea $G$ a corpului se descompune în două componente: una paralelă cu planul $G_{p}$ şi alta normală pe plan $G_{n}$.\\ $G_{p}=G \sin \alpha=m g \sin \alpha$;\\ $G_{n}=G \cos \alpha=m g \cos \alpha$.\\ Deoarece nu există frecare, componenta $G_{n}$ nu are nici o influență asupra mişcării. Din legea fundamentală a dinamicii: $-m g \sin \alpha=m a$, rezultă accelerația $a=-g \sin \alpha$ (1).\\ Deci corpul va efectua de-a lungul planului o mişcare uniform încetinită. Conform formulei lui Galilei, viteza corpului după ce parcurge o distanță $d$ va fi: $v=\sqrt{v_{0}^{2}-2 a d}$. În cazul nostru, când ajunge în punctul superior al planului viteza va fi: $\sqrt{v_{0}^{2}-2 g l \sin \alpha}=0$.\\ Deci: $v_{0}^{2}-2 g l \sin \alpha=0$ şi $v=\sqrt{2 g l \sin \alpha}=\sqrt{2 \cdot 10 \cdot 10 \cdot \frac{1}{2}}=10 \mathrm{~m} / \mathrm{s}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-219(1)}\\ Figura problemei \end{center}\\"
"1.104","Scriem legea conservǎrii impulsului, înainte şi după ciocnirea plastică:\\ $m_{1} v_{1}=\left(m_{1}+m_{2}\right) \cdot u \Rightarrow u=\frac{m_{1} v_{1}}{m_{1}+m_{2}}=\frac{1000 \cdot 15}{2300}=6,52 \mathrm{~m} / \mathrm{s}$;\\ $\Delta E_{c}=E_{c f}-E_{c i}=\frac{\left(m_{1}+m_{2}\right) \cdot u^{2}}{2}-\frac{m_{1} v_{1}^{2}}{2}=\\ =\frac{1}{2} \frac{m_{1} m_{2}}{m_{1}+m_{2}} v_{1}^{2}=\frac{1}{2} \cdot \frac{1000 \cdot 1300}{2300} \cdot 15^{2}=63587 \mathrm{~J}$.\\"
"1.105","Răspuns corect F).\\"
"1.106","Răspuns corect F).\\"
"1.107","Pentru corpul $m_{1}: T-\mu m_{1} g=m_{1} a$;\\ Pentru corpul $m_{2}: m_{2} g-T=m_{2} a$;\\ Adunăm relațiile: $m_{2} g-\mu m_{1} g=a\left(m_{1}+m_{2}\right)$, din care:\\ $\mu=\frac{m_{2}(g-a)-m_{1} a}{m_{1} g}=0,25$;\\ $T=m_{2}(g-a)=15 \mathrm{~N}$;\\ $F_{S}=T \sqrt{2}=21 \mathrm{~N}$.\\"
"1.108","La ridicarea accelerată: $T-m g=m a \Rightarrow T=m(a+g)=65 \mathrm{~N};$\\ $F_{\text {rupere }}=1,4 \mathrm{~T}$;\\ $F_{\text {rupere }}=m_{\max } g \text { (ridicare uniformă) } \Rightarrow m_{\max }=\frac{1,4 T}{g}=9,1 \mathrm{~kg}$.\\"
"1.109","Forţa de atracție universală este forță centripetã $\frac{k m M}{r^{2}}=\frac{m v^{2}}{r}$, unde $r=R+h$, rezultă:\\ $v=\sqrt{\frac{k M}{R+h}}$, dar $m g_{0}=\frac{k m M}{R^{2}}$ (la suprafața Pământului), deci:\\ $k M=g_{0} R^{2} \quad \text { şi } \quad v=R \sqrt{\frac{g_{0}}{R+h}}=\frac{R}{4} \sqrt{\frac{g_{0}}{R}}=2 \mathrm{~km} / \mathrm{s}$;\\ $T=\frac{2 \pi(R+h)}{v}=\frac{2 \pi \cdot 16 R \cdot 4}{\sqrt{g_{0} R}}=128 \pi \sqrt{\frac{R}{g_{0}}} \cong 90,3 \mathrm{~h}$.\\"
